"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
500,551.068664550781
510.613303157682,509.515319824219
521.451890723198,540.1962890625
532.520544719981,560.380859375
543.824148677596,542.551208496094
555.367689786363,554.091491699219
567.156261097731,565.822326660156
579.195063771347,597.087646484375
591.489409369823,599.911865234375
604.044722202224,602.483764648437
616.866541717284,615.510620117187
629.960524947437,626.624267578125
643.332449004716,661.183532714844
656.988213629638,655.392700195312
670.933843794189,688.542724609375
685.175492360062,693.314147949219
699.719442793325,698.049987792969
714.572111936705,733.193786621094
729.740052840724,747.360717773437
745.229957654927,752.322937011719
761.048660580483,769.114807128906
777.20314088546,814.371459960937
793.700525984101,791.929016113281
810.548094581462,837.801635742187
827.753279884812,825.918273925781
845.323672883178,862.830383300781
863.267025696527,871.289184570312
881.591254996022,879.662170410156
900.304445496891,917.445922851562
919.414853525425,936.658508300781
938.930910661708,936.817749023437
958.86122745965,982.673156738281
979.214597246003,996.412841796875
1000,1017.15570068359
1021.22660631537,1028.95471191406
1042.9037814464,1040.3193359375
1065.04108943996,1062.69580078125
1087.64829735519,1114.22399902344
1110.73537957273,1107.89770507812
1134.31252219546,1131.90808105469
1158.3901275427,1175.15747070312
1182.97881873965,1189.72375488281
1208.08944440445,1224.50927734375
1233.73308343457,1259.80725097656
1259.92104989488,1257.17517089844
1286.66489800943,1303.11767578125
1313.97642725928,1330.09545898437
1341.86768758838,1338.9033203125
1370.35098472013,1380.10974121094
1399.43888558665,1424.9228515625
1429.14422387341,1435.18566894531
1459.48010568145,1485.14782714844
1490.45991530986,1506.07470703125
1522.09732116097,1557.17822265625
1554.40628177092,1657.00256347656
1587.4010519682,1669.96960449219
1621.09618916293,1704.20239257812
1655.50655976963,1747.47143554688
1690.64734576636,1868.9345703125
1726.53405139306,1885.12390136719
1763.18250999205,1951.50158691406
1800.60889099378,1959.89587402344
1838.82970705085,2007.60119628906
1877.86182132342,2065.52197265625
1917.7224549193,2153.814453125
1958.42919449201,2193.47021484375
2000.00000000001,2206.11987304687
2042.45321263073,2284.1123046875
2085.8075628928,2340.86767578125
2130.08217887993,2327.19482421875
2175.29659471039,2505.7978515625
2221.47075914546,2493.9775390625
2268.62504439093,2560.55395507812
2316.78025508539,2599.22607421875
2365.9576374793,2593.29736328125
2416.1788888089,2698.29052734375
2467.46616686914,2690.50537109375
2519.84209978976,2801.97802734375
2573.32979601887,2817.2685546875
2627.95285451856,2843.68383789062
2683.73537517677,2849.58984375
2740.70196944026,2827.53564453125
2798.87777117331,2916.86279296875
2858.28844774683,2870.27612304687
2918.9602113629,2815.8974609375
2980.91983061972,2811.3798828125
3044.19464232194,2509.94775390625
3108.81256354185,2929.7041015625
3174.80210393641,1171.0009765625
3242.19237832586,2462.26806640625
3311.01311953926,1191.24377441406
3381.29469153272,628.500671386719
3453.06810278612,372.630859375
3526.3650199841,2316.59057617187
3601.21778198757,423.272918701172
3677.65941410171,430.901519775391
3755.72364264684,672.44873046875
3835.44490983861,648.901733398437
3916.85838898402,440.875701904297
4000.00000000002,1172.78442382812

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
500,-0.0560687227725956
510.613303157682,-0.0814656564402671
521.451890723198,-0.0482307754819149
532.520544719981,-0.0127329710763148
543.824148677596,-0.0299316780074279
555.367689786363,0.0141360736112162
567.156261097731,-0.064967668730341
579.195063771347,-0.00690569319174402
591.489409369823,-0.112000070861907
604.044722202224,-0.0342185470790323
616.866541717284,0.0540263990814503
629.960524947437,0.0269550434442994
643.332449004716,-0.053479267574066
656.988213629638,0.0440677969720368
670.933843794189,-0.0129319541579727
685.175492360062,0.0196983145634411
699.719442793325,-0.0381461939508074
714.572111936705,-0.0690237979648522
729.740052840724,-0.0718576896303178
745.229957654927,0.053582856760767
761.048660580483,0.0379973817733148
777.20314088546,-0.0579224863771325
793.700525984101,0.0139249312386642
810.548094581462,0.0468775977614156
827.753279884812,-0.0288163058552489
845.323672883178,0.00417673967003238
863.267025696527,-0.0165498694550643
881.591254996022,0.0137047666438078
900.304445496891,0.024777460547211
919.414853525425,-0.0182994333963081
938.930910661708,-0.0180603558117356
958.86122745965,0.013953484599836
979.214597246003,-0.000745869594827798
1000,0.0557823948882735
1021.22660631537,0.0432837655021358
1042.9037814464,0.0415934015143971
1065.04108943996,-0.0100418711643351
1087.64829735519,0.0461372401884708
1110.73537957273,-0.0267618888645556
1134.31252219546,0.0406331102798271
1158.3901275427,-0.00639729154345338
1182.97881873965,0.0112577837487741
1208.08944440445,0.0965437763908891
1233.73308343457,0.0225798145222226
1259.92104989488,0.150693814835995
1286.66489800943,0.0997146262188596
1313.97642725928,0.0429999391471465
1341.86768758838,0.0924961172366033
1370.35098472013,0.127598859593095
1399.43888558665,0.153028627939685
1429.14422387341,0.0500718651986975
1459.48010568145,0.131756216189109
1490.45991530986,0.0352409238468197
1522.09732116097,0.0481725103489087
1554.40628177092,0.108998757949292
1587.4010519682,0.0325915616578887
1621.09618916293,0.0902887266835923
1655.50655976963,-0.0420869616495333
1690.64734576636,0.0215521041198323
1726.53405139306,0.0778389415903684
1763.18250999205,-0.0350988445668852
1800.60889099378,-0.0590597885040225
1838.82970705085,-0.201754257665046
1877.86182132342,-0.0679807640872551
1917.7224549193,-0.212996314329194
1958.42919449201,-0.223212721191769
2000.00000000001,-0.301043189578824
2042.45321263073,-0.393085864485365
2085.8075628928,-0.452042125420794
2130.08217887993,-0.693451220912479
2175.29659471039,-0.915661016420692
2221.47075914546,-1.08994156605625
2268.62504439093,-1.41322775052335
2316.78025508539,-1.8245098572339
2365.9576374793,-2.3217340562372
2416.1788888089,-2.85789100813651
2467.46616686914,-3.63680971386036
2519.84209978976,-4.23226975214712
2573.32979601887,-4.9920801222961
2627.95285451856,-6.08431881514777
2683.73537517677,-6.26281414244429
2740.70196944026,-7.618326810664
2798.87777117331,-8.07666548612975
2858.28844774683,-8.66891314748805
2918.9602113629,-9.87899405200399
2980.91983061972,-10.2766023028886
3044.19464232194,-11.0342292375003
3108.81256354185,-12.2034829808255
3174.80210393641,-12.513928952321
3242.19237832586,-14.6334962027598
3311.01311953926,-14.3400870292045
3381.29469153272,-15.004955304201
3453.06810278612,-15.2355302357034
3526.3650199841,-15.5442912856742
3601.21778198757,-16.5239431843367
3677.65941410171,-17.2411903384497
3755.72364264684,-16.8953669499554
3835.44490983861,-18.5408944168113
3916.85838898402,-18.2866759446321
4000.00000000002,-18.955219021478

