"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,355.212310791016
104.761575278966,294.024078369141
109.749876549306,297.928100585937
114.975699539774,322.490325927734
120.450354025878,429.514007568359
126.185688306602,303.108825683594
132.194114846603,290.29638671875
138.488637139387,295.450988769531
145.082877849594,336.8740234375
151.991108295293,262.193908691406
159.228279334109,287.538635253906
166.810053720006,371.381530761719
174.752840000768,365.753112792969
183.073828029537,356.448089599609
191.791026167249,323.782775878906
200.923300256505,280.122222900391
210.490414451202,377.205017089844
220.513073990304,349.31396484375
231.012970008316,354.717132568359
242.012826479438,381.249603271484
253.536449397011,417.230224609375
265.608778294668,460.276550292969
278.255940220712,445.156005859375
291.505306282517,415.515930175781
305.385550883341,392.146179199219
319.926713779738,453.639190673828
335.160265093884,441.283630371094
351.119173421513,438.9072265625
367.837977182863,529.904602050781
385.352859371053,626.137268066406
403.701725859655,558.507263183594
422.92428743895,548.179321289062
443.062145758388,603.625732421875
464.158883361278,634.829406738281
486.260158006535,672.997375488281
509.413801481637,619.994750976562
533.66992312063,666.292846679687
559.081018251222,700.009033203125
585.702081805666,748.170593261719
613.590727341317,765.990844726562
642.807311728431,794.839111328125
673.415065775081,747.688781738281
705.480231071863,798.554626464844
739.072203352577,948.675109863281
774.263682681126,1011.30291748047
811.130830789686,912.638671875
849.753435908643,961.036437988281
890.215085445037,1020.98034667969
932.603346883219,1043.70520019531
977.009957299224,1146.01000976562
1023.53102189902,1095.58081054687
1072.26722201032,1230.62683105469
1123.32403297803,1281.55151367187
1176.811952435,1305.03259277344
1232.84673944206,1361.72509765625
1291.54966501488,1457.04443359375
1353.0477745798,1528.74841308594
1417.4741629268,1545.13940429687
1484.96826225446,1573.1396484375
1555.67614393047,1683.03198242187
1629.75083462064,1736.25756835937
1707.35264747069,1851.66088867187
1788.64952905743,1952.88623046875
1873.81742286038,2008.35168457031
1963.04065004027,2068.70434570312
2056.51230834865,2171.36669921875
2154.43469003188,2258.06884765625
2257.01971963392,2276.0166015625
2364.4894126454,2447.62475585937
2477.07635599171,2570.9580078125
2595.02421139973,2783.74340820312
2718.58824273294,2800.66674804687
2848.0358684358,2939.06860351562
2983.64724028333,3142.38989257812
3125.71584968823,3243.27709960937
3274.54916287772,3420.87622070312
3430.46928631491,3518.1611328125
3593.81366380462,3730.24096679687
3764.93580679246,3842.876953125
3944.20605943765,3989.67016601562
4132.01240011533,4234.044921875
4328.76128108305,4412.18505859375
4534.87850812857,4618.81005859375
4750.81016210279,4860.06591796875
4977.0235643321,5020.60791015625
5214.00828799967,5283.693359375
5462.27721768433,5482.12841796875
5722.3676593502,5711.4775390625
5994.8425031894,6021.78662109375
6280.29144183424,6276.677734375
6579.33224657566,6576.90771484375
6892.61210434968,6898.24267578125
7220.80901838545,7274.7646484375
7564.63327554627,7567.25732421875
7924.82898353915,7915.98388671875
8302.17568131972,8257.7978515625
8697.49002617781,8678.6552734375
9111.62756115487,9071.6083984375
9545.48456661832,9528.8896484375
9999.99999999997,9978.2529296875

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,0.0881359061436849
104.761575278966,0.0963725875192226
109.749876549306,0.103859319122549
114.975699539774,0.105321986008531
120.450354025878,0.0903378852119143
126.185688306602,0.120348569852223
